127.0.0.1 - - [01/Oct/2019:01:00:28 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [01/Oct/2019:01:00:37 -0300] "POST /FazendoUtopia/pages/cadastros/produto.xhtml HTTP/1.1" 500 2307
0:0:0:0:0:0:0:1 - - [01/Oct/2019:01:00:37 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [01/Oct/2019:01:00:48 -0300] "GET /FazendoUtopia/pages/cadastros/categoriacesta.xhtml HTTP/1.1" 200 28254
0:0:0:0:0:0:0:1 - - [01/Oct/2019:01:00:53 -0300] "GET /FazendoUtopia/pages/cadastros/produto.xhtml HTTP/1.1" 200 144259
0:0:0:0:0:0:0:1 - - [01/Oct/2019:01:00:56 -0300] "POST /FazendoUtopia/pages/cadastros/produto.xhtml HTTP/1.1" 200 7937
0:0:0:0:0:0:0:1 - - [01/Oct/2019:01:00:56 -0300] "GET /FazendoUtopia/javax.faces.resource/images/ui-bg_flat_0_2d5972_40x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2019:01:01:16 -0300] "POST /FazendoUtopia/pages/cadastros/produto.xhtml HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [01/Oct/2019:01:01:32 -0300] "POST /FazendoUtopia/pages/cadastros/produto.xhtml HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [01/Oct/2019:01:01:36 -0300] "POST /FazendoUtopia/pages/cadastros/produto.xhtml HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [01/Oct/2019:01:02:03 -0300] "POST /FazendoUtopia/pages/cadastros/produto.xhtml HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [01/Oct/2019:01:02:05 -0300] "GET /FazendoUtopia/pages/cadastros/produto.xhtml HTTP/1.1" 200 143784
0:0:0:0:0:0:0:1 - - [01/Oct/2019:01:02:05 -0300] "GET /FazendoUtopia/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 5007
0:0:0:0:0:0:0:1 - - [01/Oct/2019:01:02:05 -0300] "GET /FazendoUtopia/javax.faces.resource/Script.js.xhtml?ln=js HTTP/1.1" 200 1192
0:0:0:0:0:0:0:1 - - [01/Oct/2019:01:02:05 -0300] "GET /FazendoUtopia/javax.faces.resource/inputnumber/inputnumber.css.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [01/Oct/2019:01:02:05 -0300] "GET /FazendoUtopia/javax.faces.resource/core.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 37704
0:0:0:0:0:0:0:1 - - [01/Oct/2019:01:02:05 -0300] "GET /FazendoUtopia/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 87020
0:0:0:0:0:0:0:1 - - [01/Oct/2019:01:02:05 -0300] "GET /FazendoUtopia/javax.faces.resource/inputnumber/inputnumber.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 23900
